,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
R_p,1.113,0.006,1.104,1.123,0.0,0.0,10118.0,10071.0,
T_eq,1259.252,7.829,1243.54,1271.749,0.079,0.054,9836.0,9904.0,
T_int,318.572,35.295,276.331,395.354,0.348,0.238,10275.0,9678.0,
log_10_H_cld,1.714,0.164,1.447,1.992,0.002,0.001,9760.0,10055.0,
log_10_cld_r,-1.917,0.096,-2.075,-1.777,0.001,0.001,10074.0,9805.0,
log_10_f_CH4,-7.81,0.309,-8.391,-7.285,0.003,0.002,10141.0,10265.0,
log_10_f_CO,-3.814,0.304,-4.275,-3.314,0.003,0.002,10193.0,10207.0,
log_10_f_CO2,-6.447,0.257,-6.926,-6.06,0.003,0.002,10308.0,10060.0,
log_10_f_H2O,-3.913,0.277,-4.315,-3.457,0.003,0.002,9949.0,9547.0,
log_10_g,2.807,0.022,2.761,2.842,0.0,0.0,10010.0,9778.0,
log_10_gam_v,-0.35,0.011,-0.365,-0.336,0.0,0.0,9856.0,9775.0,
log_10_k_0,-0.438,0.269,-0.874,0.115,0.003,0.003,9871.0,8779.0,
log_10_k_1,0.532,0.353,-0.19,0.998,0.004,0.002,9824.0,10026.0,
log_10_k_2,-4.597,0.16,-4.914,-4.328,0.002,0.001,10010.0,9887.0,
log_10_k_3,-4.831,0.246,-5.259,-4.38,0.002,0.001,9741.0,9501.0,
log_10_k_4,-2.642,0.276,-3.092,-2.133,0.003,0.002,9628.0,9814.0,
log_10_k_5,-2.931,0.189,-3.248,-2.517,0.002,0.003,10233.0,9546.0,
log_10_k_6,-2.839,0.263,-3.314,-2.402,0.003,0.003,10023.0,10055.0,
log_10_k_7,0.379,0.316,-0.131,0.977,0.003,0.002,10025.0,9661.0,
log_10_k_ir,-2.137,0.175,-2.42,-1.854,0.002,0.001,10182.0,9860.0,
log_10_p_base,-0.736,0.325,-1.449,-0.332,0.003,0.003,9345.0,9951.0,
log_10_q_c_0,-8.385,0.341,-8.997,-7.807,0.003,0.002,9991.0,9979.0,
n_0,2.809,0.096,2.684,2.999,0.001,0.001,9371.0,9744.0,
n_1,1.171,0.125,0.965,1.369,0.001,0.002,9783.0,9477.0,
n_2,1.597,0.086,1.461,1.765,0.001,0.001,10168.0,9803.0,
n_3,1.583,0.14,1.296,1.805,0.001,0.001,9989.0,9971.0,
n_4,2.344,0.114,2.099,2.523,0.001,0.001,9730.0,9676.0,
n_5,2.109,0.14,1.896,2.335,0.001,0.001,9982.0,9850.0,
n_6,2.434,0.155,2.221,2.728,0.002,0.001,10173.0,9898.0,
n_7,1.861,0.104,1.645,2.038,0.001,0.001,9603.0,9472.0,
sigma,1.491,0.045,1.387,1.571,0.0,0.0,9901.0,9698.0,
