#Central_WL(μm)   Half_BW(μm)    Eclipse_Depth      Err_Pos       Err_Neg       Mode      
#------------------------------------------------------------------------------------------
1.1262           0.0154         0.000101           5.6e-05       5.6e-05       boxcar    
1.1563           0.01465        3.8e-05            3.8e-05       3.7e-05       boxcar    
1.1849           0.01395        0.000123           4.4e-05       4.4e-05       boxcar    
1.2123           0.01345        0.000112           5.4e-05       5.4e-05       boxcar    
1.239            0.01325        2.3e-05            3.6e-05       2.2e-05       boxcar    
1.2657           0.01345        0.000153           4.9e-05       4.9e-05       boxcar    
1.2925           0.01335        0.000141           5.1e-05       5.1e-05       boxcar    
1.319            0.01315        0.000198           4.9e-05       4.9e-05       boxcar    
1.3454           0.01325        0.000122           5.2e-05       5.2e-05       boxcar    
1.3723           0.0137         0.00015            4.6e-05       4.6e-05       boxcar    
1.4              0.014          6e-05              4.4e-05       4.4e-05       boxcar    
1.4283           0.01425        0.000188           4.8e-05       4.8e-05       boxcar    
1.4572           0.0147         0.000157           5.2e-05       5.2e-05       boxcar    
1.4873           0.0154         0.000227           5.3e-05       5.3e-05       boxcar    
1.5186           0.0159         0.000277           5.4e-05       5.4e-05       boxcar    
1.5514           0.01685        0.000228           4.3e-05       4.3e-05       boxcar    
1.5862           0.018          0.000184           5.6e-05       5.6e-05       boxcar    
1.6237           0.0195         0.00015            5.5e-05       5.5e-05       boxcar    
2.425            0.025          0.0004745          4.23e-05      4.6e-05       boxcar    
2.475            0.025          0.0004256          3.77e-05      3.37e-05      boxcar    
2.525            0.025          0.0004266          3.48e-05      3.2e-05       boxcar    
2.575            0.025          0.0004261          3.28e-05      2.88e-05      boxcar    
2.625            0.025          0.0004826          3.21e-05      3.08e-05      boxcar    
2.675            0.025          0.0005058          2.79e-05      2.9e-05       boxcar    
2.725            0.025          0.0004844          3.04e-05      3.16e-05      boxcar    
2.775            0.025          0.0005314          2.78e-05      2.93e-05      boxcar    
2.825            0.025          0.0005392          2.76e-05      2.93e-05      boxcar    
2.875            0.025          0.0006084          2.77e-05      2.89e-05      boxcar    
2.925            0.025          0.0006404          2.78e-05      2.85e-05      boxcar    
2.975            0.025          0.0006578          2.67e-05      2.84e-05      boxcar    
3.025            0.025          0.00072            2.8e-05       2.71e-05      boxcar    
3.075            0.025          0.0007409          2.61e-05      2.51e-05      boxcar    
3.125            0.025          0.0008499          2.45e-05      2.36e-05      boxcar    
3.175            0.025          0.0009079          2.7e-05       2.47e-05      boxcar    
3.225            0.025          0.0009343          2.44e-05      2.3e-05       boxcar    
3.275            0.025          0.0010447          2.44e-05      2.57e-05      boxcar    
3.325            0.025          0.0011083          2.52e-05      2.38e-05      boxcar    
3.375            0.025          0.0011594          2.41e-05      2.39e-05      boxcar    
3.425            0.025          0.0012133          2.65e-05      2.7e-05       boxcar    
3.475            0.025          0.0012913          2.88e-05      2.93e-05      boxcar    
3.525            0.025          0.0013325          2.71e-05      2.86e-05      boxcar    
3.575            0.025          0.0013862          2.49e-05      2.83e-05      boxcar    
3.625            0.025          0.0014131          2.97e-05      2.86e-05      boxcar    
3.675            0.025          0.0014803          3.17e-05      3.23e-05      boxcar    
3.725            0.025          0.0015545          2.75e-05      2.56e-05      boxcar    
3.775            0.025          0.0016332          2.76e-05      2.91e-05      boxcar    
3.825            0.025          0.0016675          2.91e-05      2.57e-05      boxcar    
3.875            0.025          0.0017838          2.83e-05      2.68e-05      boxcar    
3.925            0.025          0.0018451          2.33e-05      2.26e-05      boxcar    
3.925            0.025          0.0017688          2.79e-05      2.45e-05      boxcar    
3.975            0.025          0.0018932          2.14e-05      2.11e-05      boxcar    
4.025            0.025          0.0018732          2.26e-05      2.03e-05      boxcar    
4.075            0.025          0.0018769          2.12e-05      2.07e-05      boxcar    
4.125            0.025          0.0018683          2.21e-05      2.32e-05      boxcar    
4.175            0.025          0.001844           2.25e-05      2.27e-05      boxcar    
4.225            0.025          0.0016289          2.63e-05      2.54e-05      boxcar    
4.275            0.025          0.0014995          2.31e-05      2.22e-05      boxcar    
4.325            0.025          0.0014306          2.87e-05      2.8e-05       boxcar    
4.375            0.025          0.0015591          2.96e-05      3.05e-05      boxcar    
4.425            0.025          0.0016149          2.88e-05      3.01e-05      boxcar    
4.475            0.025          0.0016869          2.93e-05      2.9e-05       boxcar    
4.525            0.025          0.0017015          3.17e-05      3.11e-05      boxcar    
4.575            0.025          0.0018407          3.17e-05      3.17e-05      boxcar    
4.625            0.025          0.0019082          3.33e-05      3.24e-05      boxcar    
4.675            0.025          0.0020028          3.58e-05      3.31e-05      boxcar    
4.725            0.025          0.0020563          4.35e-05      3.71e-05      boxcar    
4.775            0.025          0.0020577          4.29e-05      3.52e-05      boxcar    
4.825            0.025          0.002036           3.8e-05       3.95e-05      boxcar    
4.875            0.025          0.0020128          3.81e-05      3.61e-05      boxcar    
