# HD 189733b transmission spectrum 
# This file contains:
# STIS G430L - GO 11111 - Published by Sing et al. (2011) & Huitson et al. (2012)
# STIS G750L - GO 11740 (PI Pont) - Published by Pont et al. (2013)
# WFC3 G141 - GO 11740 (PI Pont) - Published by Pont et al. (2013)
# Spitzer 3.6 & 4.5 - (PI Desert)
# Data history:
# Presented in part in: Pont et al. 2013, MNRAS; McCullough et al. 2014, ApJ; Sing et al. 2016, Nature
# Converted by H.R. Wakeford from: the transmission spectrum presented by Sing et al. (2016)
# ----------------------------------------------------------------------------------------
# Wavelength (microns)  Delta Wavelength (microns)  (Rp/Rs)^2   (Rp/Rs)^2 +/-uncertainty
# ----------------------------------------------------------------------------------------
         0.3450000    0.02500000   0.02499877   0.00010119  
         0.3950000    0.02500000   0.02480940   0.00005040  
         0.4450000    0.02500000   0.02470555   0.00004401  
         0.4950000    0.02500000   0.02463330   0.00004081  
         0.5400000    0.02000000   0.02454236   0.00004073  
         0.5700000    0.01000000   0.02447348   0.00004380  
         0.5860000    0.00600000   0.02445470   0.00008445  
         0.5895000    0.00110000   0.02465842   0.00003455  
         0.5980000    0.00600000   0.02443282   0.00006878  
         0.6095000    0.00550000   0.02438907   0.00011244  
         0.6205000    0.00550000   0.02433600   0.00008424  
         0.6320000    0.00600000   0.02436721   0.00003746  
         0.6750000    0.02500000   0.02428922   0.00003429  
         0.7250000    0.02500000   0.02424872   0.00003426  
         0.7750000    0.02500000   0.02429234   0.00003741  
         0.8250000    0.02500000   0.02418647   0.00003732  
         0.8750000    0.02500000   0.02418958   0.00004044  
         0.9250000    0.02500000   0.02416781   0.00004042  
         0.9750000    0.02500000   0.02418647   0.00004977  
         1.0850000    0.08500000   0.02406221   0.00006825  
         1.1279000    0.00940000   0.02392900   0.00007425  
         1.1467000    0.00940000   0.02401570   0.00006819  
         1.1655000    0.00940000   0.02404671   0.00010545  
         1.1842999    0.00940000   0.02400330   0.00008676  
         1.2031000    0.00940000   0.02392900   0.00008044  
         1.2218000    0.00940000   0.02392281   0.00007115  
         1.2406000    0.00940000   0.02385171   0.00005560  
         1.2594000    0.00940000   0.02396923   0.00006193  
         1.2782000    0.00940000   0.02383010   0.00006175  
         1.2970001    0.00940000   0.02395375   0.00006810  
         1.3157001    0.00940000   0.02392900   0.00005878  
         1.3345000    0.00940000   0.02395066   0.00006500  
         1.3533000    0.00940000   0.02410256   0.00005589  
         1.3721000    0.00940000   0.02411809   0.00006212  
         1.3909000    0.00940000   0.02405911   0.00006204  
         1.4096000    0.00940000   0.02418336   0.00007776  
         1.4284000    0.00940000   0.02416781   0.00006529  
         1.4471999    0.00940000   0.02407462   0.00007137  
         1.4660000    0.00940000   0.02398472   0.00006814  
         1.4847000    0.00940000   0.02415538   0.00007460  
         1.5035000    0.00940000   0.02391044   0.00006185  
         1.5223000    0.00940000   0.02406532   0.00006205  
         1.5411000    0.00940000   0.02396923   0.00006193  
         1.5599000    0.00940000   0.02397852   0.00007123  
         1.5786000    0.00940000   0.02406842   0.00008688  
         1.5974000    0.00940000   0.02393209   0.00007426  
         1.6000000    0.15000001   0.02395066   0.00007738  
         1.6162000    0.00940000   0.02388261   0.00009891  
         1.6350000    0.00940000   0.02403120   0.00008371  
         1.9250000    0.17500000   0.02394447   0.00006809  
         2.3000000    0.20000000   0.02386098   0.00008341  
         3.5500000    0.34999999   0.02404671   0.00008374  
         4.5000000    0.50000000   0.02415538   0.00010879  
